date,market_return
1978-10-16,-0.01917488
1978-10-17,-0.01359633
1978-10-18,-0.007385177000000001
1978-10-19,-0.01259364
1978-10-20,-0.01281639
1978-10-23,0.001884611
1978-10-24,-0.006726669
1978-10-25,-0.002039914
1978-10-26,-0.01299734
1978-10-27,-0.01546071
1978-10-30,0.006592276
1978-10-31,-0.01970518
1978-11-01,0.04186183
1978-11-02,-0.01173124
1978-11-03,0.005793645
1978-11-06,-0.009644331
1978-11-07,-0.01357078
1978-11-08,0.005979104000000001
1978-11-09,0.0001015212
1978-11-10,0.004709533
1978-11-13,-0.01670826
1978-11-14,-0.00659152
1978-11-15,0.002266513
1978-11-16,0.01114625
1978-11-17,0.007954617
1978-11-20,0.008895902
1978-11-21,-0.002479064
1978-11-22,0.005655914000000001
1978-11-24,0.004311325
1978-11-27,0.0031637
1978-11-28,-0.008657468
1978-11-29,-0.01452001
1978-11-30,0.009954438000000001
1978-12-01,0.01677727
1978-12-04,-0.000187581
1978-12-05,0.01336372
1978-12-06,0.0008564442
1978-12-07,-0.004228931
1978-12-08,-0.004971663
1978-12-11,0.005333542
1978-12-12,-0.005103991
1978-12-13,-0.005721529
1978-12-14,0.0001918578
1978-12-15,-0.007155149
1978-12-18,-0.02040349
1978-12-19,0.009020101
1978-12-20,0.004277095
1978-12-21,-0.0003199936
1978-12-22,0.018299
1978-12-26,0.01270226
1978-12-27,-0.009320682
1978-12-28,-0.003570044
1978-12-29,-0.0024938
1979-01-02,0.007680204
1979-01-03,0.01052112
1979-01-04,0.008828185
1979-01-05,0.005167423
1979-01-08,-0.002962264
1979-01-09,0.005183734000000001
1979-01-10,-0.006149610000000001
1979-01-11,0.005331774
1979-01-12,0.007268162000000001
1979-01-15,0.007248591
1979-01-16,-0.01209135
1979-01-17,-0.0002973987
1979-01-18,0.003602991
1979-01-19,-0.0007913985000000001
1979-01-22,0.001273223
1979-01-23,0.007352607000000001
1979-01-24,-0.004080565
1979-01-25,0.01059975
1979-01-26,0.006914867000000001
1979-01-29,-0.002687198
1979-01-30,-0.003650079
1979-01-31,-0.01222054
1979-02-01,0.001535064
1979-02-02,-0.004507185
1979-02-05,-0.01322323
1979-02-06,-8.187588999999999e-05
1979-02-07,-0.008090914000000001
1979-02-08,0.005711337
1979-02-09,0.002570463
1979-02-12,0.003388548
1979-02-13,0.00805744
1979-02-14,-0.001228401
1979-02-15,-0.00114952
1979-02-16,-0.0001249955
1979-02-20,0.007983781
1979-02-21,-0.003267453
1979-02-22,-0.006187125000000001
1979-02-23,-0.005627589000000001
1979-02-26,-0.0006677376
1979-02-27,-0.01586135
1979-02-28,0.001827726
1979-03-01,0.006885095000000001
1979-03-02,0.0004159496
1979-03-05,0.0120779
1979-03-06,-0.002455198
1979-03-07,0.006544733
1979-03-08,0.01132119
1979-03-09,-5.198765999999999e-05
1979-03-12,0.001772198
1979-03-13,0.001883874
1979-03-14,-0.001157225
1979-03-15,0.001322539
1979-03-16,0.00831714
1979-03-19,0.003822125
1979-03-20,-0.005557576000000001
1979-03-21,0.007800269
1979-03-22,0.004206719
1979-03-23,-0.001072861
1979-03-26,-0.005087879
1979-03-27,0.01498606
1979-03-28,-0.004250718000000001
1979-03-29,-0.001039958
1979-03-30,-0.004468818
1979-04-02,-0.00639348
1979-04-03,0.0150732
1979-04-04,0.002909313
1979-04-05,0.006130685
1979-04-06,-0.0006904533
1979-04-09,-0.00315461
1979-04-10,0.004474532000000001
1979-04-11,-0.009743985
1979-04-12,-0.002982461
1979-04-16,-0.008271470000000001
1979-04-17,0.0008885802
1979-04-18,0.004752522
1979-04-19,-0.004364518
1979-04-20,-0.0002428313
1979-04-23,0.003562519
1979-04-24,0.005803923000000001
1979-04-25,0.003394732
1979-04-26,-0.00478794
1979-04-27,-0.00229904
1979-04-30,0.0004358758
1979-05-01,-0.0001179884
1979-05-02,0.001057389
1979-05-03,0.0007359184
1979-05-04,-0.009845264000000001
1979-05-07,-0.01600931
1979-05-08,0.00220554
1979-05-09,0.002883621
1979-05-10,-0.009294279
1979-05-11,0.000965909
1979-05-14,-0.004915209
1979-05-15,0.001076422
1979-05-16,0.003333991
1979-05-17,0.01590617
1979-05-18,7.18606e-05
1979-05-21,0.002557751
1979-05-22,0.004985793000000001
1979-05-23,-0.004833658
1979-05-24,0.001310178
1979-05-25,0.002609136
1979-05-29,-0.001824836
1979-05-30,-0.009493050000000001
1979-05-31,6.432489e-05
1979-06-01,0.0007079068000000001
1979-06-04,0.002416269
1979-06-05,0.01300465
1979-06-06,0.006667463
1979-06-07,0.005402507
1979-06-08,-0.002575464
1979-06-11,0.003770106
1979-06-12,0.009514794
1979-06-13,-0.005091839
1979-06-14,-0.001740137
1979-06-15,0.0001729409
1979-06-18,-0.00615041
1979-06-19,0.0008740069000000001
1979-06-20,0.0005862328000000001
1979-06-21,0.004541295
1979-06-22,0.005042754
1979-06-25,-0.00517746
1979-06-26,-0.004312626
1979-06-27,0.005697307
1979-06-28,0.005649278000000001
1979-06-29,0.0007889920000000001
1979-07-02,-0.008786877
1979-07-03,0.001094356
1979-07-05,0.003447673
1979-07-06,0.01140391
1979-07-09,0.008489237
1979-07-10,-0.002689576
1979-07-11,-0.006049081
1979-07-12,-0.008456537
1979-07-13,-0.003716963
1979-07-16,0.004558238
